Scheme_Code,Scheme_Name,Fund_House,Scheme_Type,Scheme_Category,Expense,AUM,MoneyControl_Link,CrisilRank,FundManagers,Age,3M Ret,1Y Ret,3Y Ret,5Y Ret,Ret Inception,Sharpe Ratio,Sortino Ratio,Info Ratio,Beta,Alpha,R-Squared,Pos_Year%,Year,Inception_Date,Volatility,Rel_MaxDD,Roll_Ret_1Y,Roll_Ret_3Y,Roll_Ret_Inception,Prob_10Pct,NumStocks,Top5_Pct,Top10_Pct,Top3_Sector,Equity_Holding,F&O_Holding,Foreign_Holding,NumDebts,Modified_Duration,YTM,GT_1PCT,GT_3PCT,GT_5PCT,LT_NEG_1PCT,LT_NEG_3PCT,LT_NEG_5PCT,POS_PCT,GT_NIFTY_UP,GT_NIFTY_DOWN,NIFTY_CORR,PCT_GT_NIFTY
144393,Axis Equity Hybrid Fund,Axis,Hybrid,Aggressive Hybrid,2.08%,1716.91,https://www.moneycontrol.com/mutual-funds/axis-equity-hybrid-fund-regular-plan/portfolio-overview/MAA767,1 Star,R. Sivakumar|Aditya Pagaria|Ashish Naik,4.83,6.92,9.73,16.15,,,0.92,1.27,-0.06,0.66,0.01,0.77,66.67,2018,2018-08-16,12.04,1.0790110565825366,-1.17,13.8,13.72,,44,26.38%,44.19%,28.93%,74.45,0.69,0.00,28,3.38,7.64,8.71,0.42,0.0,7.45,0.68,0.17,50.93,19.75,83.27,0.9293611668469589,48.98
106166,Canara Robeco Equity Hybrid Fund,Canara Robeco,Hybrid,Aggressive Hybrid,1.74%,8676.15,https://www.moneycontrol.com/mutual-funds/canara-robeco-equity-hybrid-fund-regular-plan/portfolio-overview/MCA051,3 Stars,Ennettee Fernandes|Avnish Jain|Shridatta Bhandwaldar,15.9,6.38,14.6,18.23,11.78,12.64,1.08,1.5,-0.04,0.63,0.04,0.79,88.24,2007,2007-07-23,11.06,0.8296309253994373,3.12,16.57,13.75,0.5989000350448735,50,22.63%,33.69%,27.21%,72.01,0.00,0.00,52,1.81,7.16,6.43,0.37,0.07,5.68,0.45,0.15,55.65,16.02,88.91,0.9427114858918976,49.44
100081,DSP Equity & Bond Fund,DSP,Hybrid,Aggressive Hybrid,1.8%,7584.1,https://www.moneycontrol.com/mutual-funds/dsp-equity-bond-fund-regular-plan/portfolio-overview/MDS005,2 Stars,Vikram Chopra|Atul Bhole|Dhaval Gada,17.21,8.16,17.3,18.54,11.12,12.41,1.07,1.48,-0.03,0.62,0.04,0.73,72.22,2006,2006-04-03,11.3,1.0145795376506699,0.5,15.45,13.75,0.6025200022301285,53,23.53%,33.7%,26.63%,74.35,0.00,0.00,44,2.28,7.25,7.26,0.45,0.0,7.26,0.45,0.15,55.65,21.82,78.96,0.9153096245759091,48.02
100550,Franklin India Equity Hybrid Fund,Franklin ,Hybrid,Aggressive Hybrid,2.15%,1386.23,https://www.moneycontrol.com/mutual-funds/franklin-india-equity-hybrid-fund/portfolio-overview/MKP027,3 Stars,Rajasa Kakulavarapu|Mayank Bukrediwala|Anand Radhakrishnan,17.21,5.88,15.26,20.19,10.22,11.84,1.17,1.63,-0.02,0.63,0.05,0.74,83.33,2006,2006-04-03,11.54,0.7923488763682581,4.29,16.61,13.11,0.5863215055044868,47,22.86%,34.48%,28.25%,70.96,0.00,0.73,10,2.00,7.08,7.63,0.15,0.07,6.88,0.52,0.15,55.65,21.55,79.93,0.9184039846050457,48.32
102948,HDFC Hybrid Equity Fund,HDFC,Hybrid,Aggressive Hybrid,1.73%,19891.8,https://www.moneycontrol.com/mutual-funds/hdfc-hybrid-equity-fund/portfolio-overview/MHD048,4 Stars,Priya Ranjan|Chirag Setalvad|Anupam Joshi,17.21,6.93,19.42,24.18,11.95,10.41,1.42,2.03,0.0,0.67,0.08,0.77,66.67,2006,2006-04-03,11.88,0.6551297718896796,8.27,18.86,12.88,0.5582917173266597,34,25.4%,42.03%,28.68%,67.04,0.00,0.00,45,3.90,7.44,8.75,0.37,0.0,7.33,0.75,0.22,53.7,25.69,77.32,0.9219236674588303,49.36
100356,ICICI Prudential Equity & Debt Fund,ICICI Prudential,Hybrid,Aggressive Hybrid,1.72%,22144.63,https://www.moneycontrol.com/mutual-funds/icici-prudential-equity-debt-fund/portfolio-overview/MPI011,5 Stars,Sri Sharma|Sharmila D’mello|Sankaran Naren|Manish Banthia|Mittul Kalawadia|Nikhil Kabra,17.21,5.84,16.18,28.25,14.98,13.43,1.62,2.3,0.02,0.64,0.12,0.63,83.33,2006,2006-04-02,12.57,0.6220032996796906,11.82,23.88,14.92,0.6271537470210871,73,31.19%,47.56%,26.12%,71.50,-0.01,0.00,29,1.83,8.04,9.95,0.45,0.0,7.18,0.52,0.22,54.97,29.7,73.9,0.8729098091174334,49.96
133036,Kotak Equity Hybrid Fund,Motilal Oswal,Hybrid,Aggressive Hybrid,1.89%,3642.93,https://www.moneycontrol.com/mutual-funds/kotak-equity-hybrid-regular-plan/portfolio-overview/MKM897,5 Stars,Pankaj Tibrewal|Abhishek Bisen,8.61,6.0,15.09,23.93,12.52,11.35,1.54,2.16,0.0,0.6,0.09,0.76,90.00,2014,2014-11-05,10.76,0.6960557696357766,6.26,19.98,12.35,0.5746797597996102,60,17.17%,27.47%,22.61%,72.10,0.00,0.00,44,3.33,7.49,7.19,0.45,0.07,6.59,0.52,0.22,57.04,22.79,79.74,0.9326742546167192,48.88
134815,Mirae Asset Hybrid Equity Fund,Mirae Asset,Hybrid,Aggressive Hybrid,1.74%,7368.88,https://www.moneycontrol.com/mutual-funds/mirae-asset-hybrid-equity-fund-regular-plan/portfolio-overview/MMA144,3 Stars,Vrijesh Kasera|Mahendra Jajoo|Harshad Borawake,7.88,7.19,14.42,19.11,11.49,11.8,1.1,1.52,-0.03,0.66,0.04,0.8,88.89,2015,2015-07-30,11.54,0.7912919102753884,3.33,16.26,13.79,0.6156311260980957,65,22.25%,33.6%,26.72%,70.53,0.16,0.00,70,2.66,7.63,7.26,0.52,0.07,7.55,0.52,0.22,55.27,20.99,81.89,0.9489631116026361,48.92
144730,Motilal Oswal Equity Hybrid Fund,Motilal Oswal,Hybrid,Aggressive Hybrid,2.42%,401.0,https://www.moneycontrol.com/mutual-funds/motilal-oswal-equity-hybrid-fund-regular-plan/portfolio-overview/MMO045,2 Stars,Rakesh Shetty|Siddharth Bothra,4.74,7.71,14.86,15.61,,,0.88,1.22,-0.05,0.59,0.02,0.73,100.00,2018,2018-09-18,10.83,0.7664076427355697,3.61,13.47,13.21,,28,25.34%,42.68%,24.24%,76.72,0.00,0.00,7,0.85,7.68,6.89,0.6,0.09,7.41,0.69,0.17,55.04,19.14,83.52,0.916006362387659,48.75
112936,Nippon India Equity Hybrid Fund,Nippon India,Hybrid,Aggressive Hybrid,2.05%,2868.11,https://www.moneycontrol.com/mutual-funds/nippon-india-equity-hybrid-fund/portfolio-overview/MRC100,3 Stars,Kinjal Desai|Sushil Budhia|Meenakshi Dawar|Akshay Sharma,13.07,7.71,17.94,22.71,6.16,10.73,1.28,1.82,-0.01,0.7,0.06,0.79,78.57,2010,2010-05-21,12.32,0.7152883294630537,6.65,13.83,11.0,0.5295461237701549,65,23.74%,40.19%,27.43%,73.42,0.00,0.00,33,3.11,-,9.28,0.37,0.07,8.83,0.82,0.3,53.89,26.38,74.02,0.8951139880037594,48.2
